filepath,label
julia\042.jpg,julia
american snoot\094.jpg,american snoot
orange oakleaf\045.jpg,orange oakleaf
straited queen\005.jpg,straited queen
orchard swallow\036.jpg,orchard swallow
southern dogface\018.jpg,southern dogface
peacock\050.jpg,peacock
silver spot skipper\011.jpg,silver spot skipper
orchard swallow\039.jpg,orchard swallow
purple hairstreak\071.jpg,purple hairstreak
silver spot skipper\012.jpg,silver spot skipper
painted lady\051.jpg,painted lady
an 88\072.jpg,an 88
sootywing\053.jpg,sootywing
zebra long wing\008.jpg,zebra long wing
wood satyr\004.jpg,wood satyr
american snoot\013.jpg,american snoot
two barred flasher\041.jpg,two barred flasher
crimson patch\020.jpg,crimson patch
orange tip\073.jpg,orange tip
crecent\020.jpg,crecent
ulyses\055.jpg,ulyses
sixspot burnet\057.jpg,sixspot burnet
pine white\004.jpg,pine white
grey hairstreak\019.jpg,grey hairstreak
chestnut\007.jpg,chestnut
cabbage white\043.jpg,cabbage white
southern dogface\057.jpg,southern dogface
question mark\060.jpg,question mark
grey hairstreak\055.jpg,grey hairstreak
indra swallow\053.jpg,indra swallow
copper tail\103.jpg,copper tail
large marble\048.jpg,large marble
skipper\039.jpg,skipper
silver spot skipper\005.jpg,silver spot skipper
copper tail\074.jpg,copper tail
crimson patch\058.jpg,crimson patch
eastern coma\063.jpg,eastern coma
pine white\022.jpg,pine white
skipper\081.jpg,skipper
skipper\027.jpg,skipper
eastern coma\030.jpg,eastern coma
sixspot burnet\006.jpg,sixspot burnet
straited queen\032.jpg,straited queen
monarch\002.jpg,monarch
ulyses\039.jpg,ulyses
clouded sulphur\011.jpg,clouded sulphur
zebra long wing\062.jpg,zebra long wing
sixspot burnet\026.jpg,sixspot burnet
an 88\032.jpg,an 88
zebra long wing\053.jpg,zebra long wing
orange tip\071.jpg,orange tip
skipper\017.jpg,skipper
malachite\006.jpg,malachite
purple hairstreak\082.jpg,purple hairstreak
an 88\067.jpg,an 88
indra swallow\068.jpg,indra swallow
